WVLS(um),SZA,H(km)|(-m),Dif_Down,Dir_Down,TotalDown,Total_Up,Up/Down,,,,,,,,
1.44,66.8,0,8.11E-01,2.11E+00,2.92E+00,2.57E-01,0.0882,,,,,,,,
1.445,66.8,0,8.63E-01,2.28E+00,3.15E+00,2.78E-01,0.0885,,,,,,,,
1.45,66.8,0,9.58E-01,2.59E+00,3.55E+00,3.16E-01,0.089,,,,,,,,
1.455,66.8,0,2.86E+00,8.65E+00,1.15E+01,1.07E+00,0.093,,,,,,,,
1.46,66.8,0,2.88E+00,8.77E+00,1.17E+01,1.08E+00,0.0931,,,,,,,,
1.465,66.8,0,1.88E+00,5.57E+00,7.45E+00,6.82E-01,0.0915,,,,,,,,
1.47,66.8,0,8.90E-01,2.46E+00,3.35E+00,2.99E-01,0.0891,,,,,,,,
1.475,66.8,0,3.10E+00,9.63E+00,1.27E+01,1.19E+00,0.0935,,,,,,,,
1.48,66.8,0,2.55E+00,7.93E+00,1.05E+01,9.74E-01,0.0929,,,,,,,,
1.485,66.8,0,3.40E+00,1.08E+01,1.42E+01,1.34E+00,0.0942,,,,,,,,
1.49,66.8,0,7.94E+00,2.56E+01,3.35E+01,3.27E+00,0.0976,,,,,,,,
1.495,66.8,0,1.07E+01,3.45E+01,4.52E+01,4.47E+00,0.099,,,,,,,,
1.5,66.8,0,1.52E+01,4.87E+01,6.38E+01,6.44E+00,0.101,,,,,,,,
1.505,66.8,0,1.53E+01,4.93E+01,6.46E+01,6.53E+00,0.1012,,,,,,,,
1.51,66.8,0,1.71E+01,5.50E+01,7.22E+01,7.36E+00,0.102,,,,,,,,
1.515,66.8,0,1.80E+01,5.77E+01,7.57E+01,7.74E+00,0.1023,,,,,,,,
1.52,66.8,0,1.99E+01,6.40E+01,8.38E+01,8.61E+00,0.1027,,,,,,,,
1.525,66.8,0,2.01E+01,6.48E+01,8.49E+01,8.73E+00,0.1028,,,,,,,,
1.53,66.8,0,2.05E+01,6.65E+01,8.70E+01,8.96E+00,0.103,,,,,,,,
